;count;stem;variants;as_noun;as_ajct;as_verb;as_other
123;89;lost;lost;0;2;87;0
124;88;gone;gone;0;0;88;0
125;88;old;old;0;88;0;0
126;87;need;need / needs / needed;12;0;74;1
127;86;rise;rise / rising / rises;18;0;68;0
128;85;good;good / goods / goodness;8;76;1;0
129;85;brother;brothers / brother;83;0;1;1
130;85;hide;hide / hiding;25;0;59;1
131;84;deep;deep;8;49;9;18
132;84;noth;nothing;84;0;0;0
133;84;high;high;3;80;1;0
134;82;said;said;0;0;82;0
135;82;battl;battle / battles;82;0;0;0
136;81;word;words / word;81;0;0;0
137;81;stay;stay / stays / stayed / staying;6;3;72;0
138;80;seem;seems / seem / seemed;4;0;76;0
139;79;begin;begin / begins / beginning / beginnings;21;0;58;0
140;79;someon;someone;79;0;0;0
141;79;ever;ever;0;0;0;79
142;78;heavi;heavy;1;77;0;0
143;78;everi;every;0;0;0;78
144;77;bodi;body / bodies;73;0;4;0
145;77;alon;alone;4;3;0;70
146;77;aliv;alive;0;74;3;0
147;77;magic;magic / magical;39;34;3;1
148;77;gun;gun / guns;74;0;3;0
149;74;move;move / moves / moving / moved;15;0;58;1
150;74;two;two;0;0;0;74
151;74;land;land / lands / landing;71;0;3;0
152;74;sea;sea / seas;72;0;2;0
153;74;tonight;tonight;35;16;21;2
154;73;air;air;73;0;0;0
155;72;open;open / opened / opens / opening;2;45;25;0
156;72;chang;change / changes / changing / changed;34;0;38;0
157;72;ground;ground;72;0;0;0
158;72;new;new;0;72;0;0
159;71;ye;yes / ye;24;3;11;33
160;71;upon;upon;0;0;1;70
161;71;heard;heard;8;2;58;3
162;70;angel;angel / angels / angeles;48;5;7;10
163;70;left;left;3;3;64;0
164;69;sin;sin / sins / sinned;61;2;6;0
165;69;hey;hey;32;11;26;0
166;69;friend;friend / friends;64;1;4;0
167;68;star;star / stars;62;0;6;0
168;68;shoot;shoot / shooting / shoots;34;12;22;0
169;68;sign;sign / signs;68;0;0;0
170;66;seen;seen;0;0;66;0
171;66;glori;glory;64;2;0;0
172;66;pleas;please / pleased / pleases / pleasing;17;16;33;0
173;65;children;children;65;0;0;0
174;65;till;till;12;1;21;31
175;65;wheel;wheels / wheel;64;0;1;0
176;65;realli;really;0;0;0;65
177;64;stop;stop / stops / stopping / stopped;9;2;53;0
178;63;rain;rain / raining;55;1;7;0
179;63;thunder;thunder / thunderer;58;3;2;0
180;63;save;save / saved / saving / saves;1;1;61;0
181;63;shadow;shadows / shadow;54;4;5;0
182;63;warrior;warriors / warrior;50;13;0;0
183;63;togeth;together;0;0;0;63
184;62;start;start / starts / started / starting;16;0;46;0
185;62;girl;girl / girls;50;2;10;0
186;62;sing;sing / singing / singe / sings;6;0;56;0
187;61;sound;sound / sounds / sounded;48;5;8;0
188;60;white;white;0;60;0;0
189;60;line;line / lines / linings / lining;60;0;0;0
190;60;home;home / homing / homes;51;2;3;4
191;60;peopl;people / peoples;60;0;0;0
192;60;even;even / evening / evenings;4;0;15;41
193;59;done;done;0;0;59;0
194;59;true;true;0;59;0;0
195;59;voic;voices / voice / voiced;58;0;1;0
196;59;reach;reach / reaching / reached / reaches;12;0;47;0
197;58;cold;cold;14;42;2;0
198;58;road;road / roads;58;0;0;0
199;58;without;without;0;0;0;58
200;58;silent;silent / silently;1;55;1;1
201;57;rememb;remember;0;0;57;0
202;57;someth;something / somethings;57;0;0;0
203;57;mani;many;0;57;0;0
204;57;across;across;0;0;0;57
205;57;littl;little;0;57;0;0
206;57;hous;house / houses;57;0;0;0
207;56;care;care / cares / carefully / careful;30;1;23;2
208;56;year;years / year;56;0;0;0
209;56;cross;cross / crossing / crossed / crosses;33;0;22;1
210;56;brave;brave;13;16;26;1
211;56;bad;bad;0;56;0;0
212;55;might;might;0;0;0;55
213;55;hope;hope / hopes / hoping / hoped / hopefully;31;0;23;1
214;55;final;final / finally;0;50;0;5
215;55;law;law / laws / lawful;54;1;0;0
216;55;soon;soon;0;0;0;55
217;54;spirit;spirit / spirits;49;4;1;0
218;54;readi;ready;4;50;0;0
219;53;unit;united / units / uniting / unit;5;39;9;0
220;53;chain;chains / chain / chained;47;0;6;0
221;53;earth;earth;46;0;3;4
222;52;wall;wall / walls;50;1;1;0
223;52;sail;sail / sailed / sails / sailing;15;2;35;0
224;52;set;set / setting / sets;4;0;48;0
225;52;song;song / songs;52;0;0;0
226;52;put;put / putting / puts;2;0;50;0
227;51;thi;thy;4;47;0;0
228;51;came;came;0;0;51;0
229;50;mad;madness / mad;38;11;0;1
230;50;along;along;0;1;0;49
231;50;grave;grave / graves;45;3;2;0
232;49;much;much;0;41;0;8
233;49;full;full;0;49;0;0
234;49;great;great / greatness;6;42;1;0
235;49;uh;uh;4;45;0;0
236;49;eat;eat / eating / eats;18;1;27;3
237;49;morn;morning / morn;45;4;0;0
238;49;number;number / numbers / numbered;48;1;0;0
239;49;rainbow;rainbow / rainbows;48;0;1;0
240;49;caught;caught;18;2;27;2
241;48;sleep;sleep / sleeping / sleeps;25;3;17;3
242;48;tear;tears / tear / tearing;34;2;11;1
243;48;mayb;maybe;1;0;1;46
244;47;damn;damned / damn;5;22;17;3
245;47;game;game / games;47;0;0;0
246;47;door;door / doors;44;0;3;0
247;46;today;today;46;0;0;0
248;46;afraid;afraid;4;37;5;0
249;46;pass;passing / pass / passed / passes;6;0;40;0
250;46;spell;spell / spells / spelled;44;0;2;0
251;46;flame;flame / flames;45;1;0;0
252;46;rais;raise / raised / raising / raises;5;0;41;0
253;46;ah;ah;36;6;3;1
254;45;meet;meet / meeting / meets;8;2;33;2
255;45;touch;touch / touches / touched / touching;27;1;13;4
256;45;near;near / nears;0;4;1;40
257;45;mean;mean / means / meaning;5;11;29;0
258;45;fate;fate / fates / fateful;43;1;1;0
259;45;lose;lose / losing;0;0;45;0
260;45;midnight;midnight / midnights;34;0;11;0
261;45;wild;wild;4;39;1;1
262;45;saw;saw;0;0;45;0
263;45;real;real;0;45;0;0
264;44;hard;hard;1;42;0;1
265;44;drink;drink / drinking;11;0;33;0
266;44;cut;cut / cutting / cuts;18;0;26;0
267;44;ask;asking / ask / asked / asks;5;0;39;0
268;44;shake;shake / shaking / shakes;5;0;39;0
269;44;first;first;0;35;0;9
270;44;fast;fast / fasting;2;18;3;21
271;44;stone;stone / stoned / stones;23;2;19;0
272;44;water;water;44;0;0;0
273;44;brain;brain / brains;44;0;0;0
274;44;child;child;37;7;0;0
275;43;behind;behind;0;0;0;43
276;43;hero;heroes / hero;42;0;1;0
277;43;seventh;seventh;0;43;0;0
278;43;big;big;0;43;0;0
279;43;fever;fever / fevered;20;5;5;13
280;43;etern;eternal / eternity / eternally / eternities;19;20;2;2
281;42;truth;truth;41;0;1;0
282;42;fill;fill / filled / fills / filling;1;4;37;0
283;42;window;window / windows;41;1;0;0
284;42;hook;hooks / hooked;19;0;23;0
285;42;lead;lead / leading / leads;12;2;28;0
286;42;close;close / closing / closed / closes;2;8;17;15
287;41;solo;solo;26;9;3;3
288;41;strong;strong;0;41;0;0
289;41;point;point / points / pointing;33;0;8;0
290;41;storm;storm / storming;39;0;2;0
291;41;control;control / controls;23;0;18;0
292;41;listen;listen / listening / listened;4;4;32;1
293;41;far;far;0;0;0;41
294;40;fool;fool / fools / fooling;35;2;2;1
295;40;hammer;hammer / hammers / hammering;34;4;2;0
296;40;feed;feed / feeds / feeding;18;1;21;0
297;40;pray;pray / praying / prays;9;1;29;1
298;40;guid;guide / guiding / guides;13;8;19;0
299;40;sunset;sunset;17;0;23;0
300;40;lord;lord / lords;33;4;2;1
301;40;planet;planet / planets;40;0;0;0
302;40;goe;goes;0;0;40;0
303;40;within;within;0;0;0;40
304;40;woman;woman;40;0;0;0
305;39;strike;strike / striking / strikes;13;0;26;0
306;39;straight;straight;4;10;17;8
307;39;danc;dance / dancing / dances / danced;14;0;25;0
308;39;hot;hot;0;38;1;0
309;39;win;win / wins / winning;1;0;38;0
310;39;smile;smile / smiles / smiling / smiled;19;6;14;0
311;39;shine;shine / shining / shines;9;0;30;0
312;39;diamond;diamonds / diamond;39;0;0;0
313;39;round;round / rounds;25;2;7;5
314;38;found;found / founded;0;0;38;0
315;38;wrong;wrong;1;36;1;0
316;38;wonder;wonder / wondering / wondered / wonderful;4;2;31;1
317;38;pay;pay / paying;5;0;33;0
318;38;blind;blind / blinded / blinding;7;7;16;8
319;37;master;master / masters / mastered;35;1;1;0
320;37;help;help / helping / helps / helped;14;0;22;1
321;37;promis;promised / promises / promise / promising;17;2;18;0
322;37;answer;answer / answers / answered / answerable;30;1;6;0
323;37;kingdom;kingdom / kingdoms;33;1;1;2
324;36;nightmar;nightmare / nightmares;29;4;2;1
325;36;hall;hall / halls;36;0;0;0
326;36;defend;defender / defenders / defend / defending;26;1;9;0
327;36;mountain;mountain / mountains;36;0;0;0
328;36;learn;learn / learned / learning;3;0;33;0
329;36;use;used / use / using;4;0;29;3
330;36;stain;stained / stains / stain;2;4;30;0
331;36;satan;satan;14;19;3;0
332;36;beast;beast / beasts;35;1;0;0
333;36;dawn;dawn / dawning;32;0;4;0
334;35;red;red;1;32;2;0
335;35;strang;strange;1;29;5;0
336;35;hill;hill / hills;35;0;0;0
337;35;matter;matter / matters;29;1;2;3
338;35;breath;breath / breathing / breathe;21;0;14;0
339;35;mine;mine;5;25;4;1
340;35;victori;victory;33;2;0;0
341;35;sworn;sworn;1;1;33;0
342;34;chanc;chance / chances;34;0;0;0
343;34;cloud;clouds / cloud;30;2;2;0
344;34;hate;hate / hates / hated / hating;20;0;14;0
345;34;sometim;sometimes / sometime;0;0;1;33
346;34;wish;wish / wishes / wishing / wished;19;4;11;0
347;34;gate;gates / gate;26;0;8;0
348;34;odin;odin;8;14;7;5
349;34;thought;thought / thoughts;9;0;25;0
350;34;laugh;laugh / laughed / laughing / laughs;14;2;15;3
351;34;wake;wake / wakes / waking;9;0;25;0
352;33;leather;leather / leathered;24;3;0;6
353;33;none;none;30;0;3;0
354;33;ring;ring / rings / ringing;24;0;9;0
355;33;hungri;hungry;15;18;0;0
356;33;tomorrow;tomorrow;33;0;0;0
357;33;excit;exciter / excitement / excited / excite / excites;30;1;2;0
358;33;bell;bell / belle;32;0;1;0
359;33;young;young;0;33;0;0
360;33;citi;city / cities;33;0;0;0
361;33;book;book / books;33;0;0;0
362;33;understand;understand / understanding;6;6;21;0
363;33;street;streets / street;33;0;0;0
364;32;ghost;ghost / ghosts;32;0;0;0
365;32;seven;seven;0;0;0;32
366;32;crazi;crazy;7;23;2;0
367;32;send;send / sending / sends;1;0;31;0
368;32;superman;superman;13;18;1;0
369;32;vic;vic;2;28;0;2
370;32;pride;pride;23;1;7;1
371;32;smoke;smoke / smoking;21;2;9;0
372;32;four;four;0;0;0;32
373;32;lightn;lightning;9;1;22;0
374;32;father;father / fathers / fathered;22;2;2;6
375;31;moon;moon;30;0;0;1
376;31;mysteri;mystery / mysterious / mysteries;28;3;0;0
377;31;memori;memories / memory;31;0;0;0
378;31;nobodi;nobody;30;1;0;0
379;31;anymor;anymore;1;0;1;29
380;31;curs;curse / cursed / curses;28;0;3;0
381;31;lay;lay / laying / lays;3;0;27;1
382;31;return;return / returned / returns;10;0;21;0
383;31;arm;arms / armed / arm;24;0;7;0
384;31;kind;kind;31;0;0;0
385;31;wing;wings / wing;30;0;1;0
386;30;sight;sight / sights / sighted;27;1;2;0
387;30;bright;bright;6;22;1;1
388;30;took;took;0;0;30;0
389;30;shame;shame;21;3;6;0
390;30;nowher;nowhere;0;0;3;27
391;30;guilti;guilty;0;30;0;0
392;30;eriel;eriel;18;6;6;0
393;30;shout;shout / shouted / shouts / shouting;8;0;15;7
394;30;drive;driving / drive / drives;8;0;22;0
395;30;twist;twisted / twisting / twist / twists;3;7;20;0
396;29;wast;waste / wasted / wasting / wastes;6;4;15;4
397;29;bless;blessing / blessed / bless / blessings / blesses;5;0;23;1
398;29;saint;saints / saint;29;0;0;0
399;29;sinner;sinner / sinners;28;0;1;0
400;29;eagl;eagles / eagle / eagled;25;0;4;0
401;29;lock;lock / locked;5;0;24;0
402;29;load;loaded / load;11;6;12;0
403;29;hors;horse / horses;29;0;0;0
404;29;fought;fought;6;2;21;0
405;29;blade;blade / blades;24;2;2;1
406;29;pleasur;pleasure / pleasures;24;5;0;0
407;29;h;h;27;1;1;0
408;29;bullet;bullet / bullets;29;0;0;0
409;28;witch;witch / witches;22;0;6;0
410;28;vella;vella;28;0;0;0
411;28;ooh;ooh;11;4;5;8
412;28;sent;sent;1;0;27;0
413;28;crack;crack / cracks / cracked;14;0;14;0
414;28;knee;knees / knee;28;0;0;0
415;28;rose;rose / roses;1;0;27;0
416;28;everyon;everyone;28;0;0;0
417;28;thousand;thousand / thousands;16;4;2;6
418;28;honour;honour;28;0;0;0
419;28;surviv;survive / survival / survives / survived;4;5;19;0
420;27;secret;secret / secrets;14;13;0;0
421;27;everybodi;everybody;27;0;0;0
422;27;town;town;27;0;0;0
423;27;stranger;strangers / stranger;27;0;0;0
424;27;quick;quick;6;19;2;0
425;27;immort;immortal / immortality / immortals;9;17;1;0
426;27;late;late / lately;0;13;0;14
427;27;told;told;0;0;27;0
428;27;fortun;fortunes / fortune / fortunate;26;1;0;0
429;27;blow;blow / blows;13;0;12;2
430;27;hang;hanging / hang / hangs / hanged / hange;7;1;19;0
431;27;circl;circle / circles / circling;25;0;2;0
432;26;blaze;blazing / blaze / blazed;13;0;13;0
433;26;six;six / sixes;0;0;0;26
434;26;rule;rule / rules / ruling / ruled;15;0;11;0
435;26;taken;taken;0;0;26;0
436;26;sure;sure / surely;2;18;1;5
437;26;worth;worth;1;12;0;13
438;26;stori;story / stories;26;0;0;0
439;26;faith;faith / faithful;19;6;1;0
440;26;race;race / racing / raced;21;0;5;0
441;26;second;second / seconds;12;14;0;0
442;26;higher;higher;0;23;0;3
443;26;feet;feet;26;0;0;0
444;26;insan;insane / insanity;20;4;2;0
445;26;past;past;8;11;0;7
446;26;somewher;somewhere;0;0;0;26
447;25;sacr;sacred;0;21;4;0
448;25;freedom;freedom;22;3;0;0
449;25;held;held;0;0;25;0
450;25;kiss;kiss / kissed / kisses;4;0;21;0
451;25;mirror;mirror / mirrors / mirrored;24;1;0;0
452;25;broken;broken;0;10;15;0
453;25;follow;follow / followed / follows / followers / following;1;0;24;0
454;24;bite;bites / bite;13;1;10;0
455;24;await;await / awaits / awaiting;7;0;16;1
456;24;iron;iron;17;3;1;3
457;24;beat;beat / beating / beats / beatings;17;0;6;1
458;24;hour;hour / hours;24;0;0;0
459;24;charg;charge / charging / charges;17;0;7;0
460;24;middl;middle;11;13;0;0
461;24;edg;edge / edged;23;0;1;0
462;24;whoa;whoa;19;3;0;2
463;24;ancient;ancient;5;19;0;0
464;24;grand;grand;0;24;0;0
465;24;diver;diver;22;0;0;2
466;24;push;push / pushed / pushing;11;3;9;1
467;24;sad;sad / sadness;4;12;8;0
468;24;heat;heat;24;0;0;0
469;24;speak;speak / speaking / speaks;3;1;20;0
470;24;e;e;19;1;0;4
471;24;fallen;fallen;1;0;23;0
472;23;crown;crown;14;8;1;0
473;23;shot;shot;14;0;9;0
474;23;may;may;0;0;0;23
475;23;sold;sold;0;0;23;0
476;23;part;part / parts / parting;23;0;0;0
477;23;silenc;silence;22;0;1;0
478;23;stronger;stronger;0;23;0;0
479;23;charlott;charlotte;10;0;12;1
480;23;becom;become / becoming / becomes;3;2;18;0
481;23;bed;bed;13;3;7;0
482;23;strength;strength;23;0;0;0
483;23;whip;whip / whips / whipping;22;0;1;0
484;23;ten;ten / tens;12;7;4;0
485;23;chosen;chosen;16;0;7;0
486;23;speed;speed / speeding;12;1;10;0
487;23;outlaw;outlaw / outlaws;19;4;0;0
488;23;proud;proud;1;16;6;0
489;23;bleed;bleed / bleeding / bleeds;3;0;19;1
490;23;question;question / questions / questioned / questionize;19;0;4;0
491;23;crawl;crawl / crawling / crawls;7;1;15;0
492;23;attack;attack / attacks / attacked / attackers;18;1;3;1
493;23;babi;baby / babies;16;1;6;0
494;23;human;human / humanity;6;17;0;0
495;22;moment;moment / moments;22;0;0;0
496;22;step;step / steps;17;0;5;0
497;22;tast;taste / tasted / tastes;4;0;18;0
498;22;dreamer;dreamer / dreamers;19;3;0;0
499;22;slave;slave / slaves;18;3;1;0
500;22;salvat;salvation;22;0;0;0
501;22;grow;grow / growing / grows;3;0;19;0
502;22;search;searching / search / searched;4;0;18;0
503;22;murder;murder / murders;22;0;0;0
504;22;enemi;enemy / enemies;22;0;0;0
505;22;room;room / rooms;22;0;0;0
506;22;pull;pull / pulled / pulls / pulling;7;0;15;0
507;22;somebodi;somebody;22;0;0;0
508;22;music;music;22;0;0;0
509;22;everywher;everywhere;0;0;0;22
510;22;march;marching / march;5;0;17;0
511;21;pound;pounding / pound / pounded;6;0;15;0
512;21;kick;kick / kicked / kicks;2;1;18;0
513;21;boy;boys / boy;17;2;2;0
514;21;lone;lonely / lone;6;8;0;7
515;21;choos;choose / choosing;3;3;15;0
516;21;stare;stare / staring / stared / stares;4;1;16;0
517;21;bone;bones / bone;19;0;2;0
518;21;clear;clear / clears;0;13;8;0
519;21;deal;deal / deals;15;0;6;0
520;21;gave;gave;0;0;21;0
521;21;goodby;goodbye / goodbyes;17;2;2;0
522;21;manowar;manowar;8;12;1;0
523;21;challi;challis;18;0;2;1
524;21;brought;brought;0;1;20;0
525;21;alright;alright;8;4;3;6
526;21;liar;liar / liars;15;5;0;1
527;21;mighti;mighty;11;9;0;1
528;21;valhalla;valhalla;11;0;8;2
529;21;peac;peace / peaceful;19;2;0;0
530;21;forget;forget;7;0;14;0
531;21;next;next;0;19;0;2
532;21;revolut;revolution;21;0;0;0
533;21;summer;summer;21;0;0;0
534;21;wherev;wherever;1;0;1;19
535;21;silver;silver;17;3;1;0
536;20;command;command / commanding / commandments / commanded / commander;13;0;7;0
537;20;key;key / keys;18;1;1;0
538;20;slowli;slowly;0;0;0;20
539;20;cover;cover / covered;3;0;16;1
540;20;bart;bart;20;0;0;0
541;20;sinc;since;0;0;0;20
542;20;killer;killer / killers;17;0;3;0
543;20;throw;throw / throwing;8;0;12;0
544;20;futur;future;17;3;0;0
545;20;remain;remain / remains / remained / remaining;5;0;15;0
546;20;drift;drifting / drift / drifts;6;0;14;0
547;20;9;9;0;0;0;20
548;20;prayer;prayer / prayers;19;0;1;0
549;20;golden;golden;0;20;0;0
550;20;tyrant;tyrant;6;14;0;0
551;20;armi;armies / army;19;0;0;1
552;20;flash;flash / flashing;13;0;7;0
553;20;sens;sense / sensing / senses / sensed;13;0;7;0
554;20;cult;cult;20;0;0;0
555;20;flesh;flesh;8;9;3;0
556;20;vengeanc;vengeance;18;0;2;0
557;20;chase;chasing / chase;4;0;16;0
558;20;vision;vision / visions;20;0;0;0
559;20;rider;rider / riders;20;0;0;0
560;20;teach;teach / teaching;3;0;17;0
561;20;root;root / roots;14;1;5;0
562;20;snow;snow / snows / snowing;8;2;10;0
563;20;doom;doom / doomed;15;0;5;0
564;20;surrend;surrender;14;0;6;0
565;20;trap;trapped / trap;2;0;18;0
566;20;bloodston;bloodstone;17;0;2;1
567;20;knew;knew;0;0;20;0
568;20;whisper;whispers / whisper / whispered / whispering;10;4;6;0
569;20;rage;rage / raging / raged;14;0;6;0
570;19;steal;steal / stealing / steals;2;0;16;1
571;19;drawn;drawn;5;0;14;0
572;19;rest;rest / rested / rests;7;0;12;0
573;19;rust;rust / rusts;6;4;9;0
574;19;talk;talking / talk / talked / talks;4;0;15;0
575;19;finger;fingers / finger;19;0;0;0
576;19;starbreak;starbreaker;18;1;0;0
577;19;destruct;destruction / destruct;19;0;0;0
578;19;bound;bound;12;0;5;2
579;19;assassin;assassin / assassination;18;0;0;1
580;19;prison;prison / prisoner / prisoners;19;0;0;0
581;19;sit;sitting / sit;3;0;16;0
582;19;bend;bend / bending / bended;3;2;14;0
583;19;age;age / ages;19;0;0;0
584;19;gold;gold;18;1;0;0
585;19;everyth;everything;19;0;0;0
586;19;weapon;weapons / weapon;19;0;0;0
587;19;desert;desert / deserted;17;0;2;0
588;19;weekend;weekend;19;0;0;0
589;19;villag;village;19;0;0;0
590;19;went;went;0;0;19;0
591;19;poison;poison / poisonous / poisoned;12;5;2;0
592;19;mother;mother;14;1;3;1
593;19;wear;wear / wearing / wears;0;0;18;1
594;19;hellrid;hellrider;13;3;3;0
595;19;fantasi;fantasies / fantasy;16;1;2;0
596;19;6;6;0;0;0;19
597;19;confess;confess / confessions / confession / confessing;15;1;3;0
598;19;pretti;pretty;2;4;0;13
599;18;desir;desire / desires;18;0;0;0
600;18;ladi;lady / ladies;16;2;0;0
601;18;belong;belong / belongs;3;2;13;0
602;18;hit;hit / hits / hitting;2;0;16;0
603;18;warn;warning / warn / warns / warned;9;0;9;0
604;18;goin;goin;1;0;17;0
605;18;tale;tales / tale;17;1;0;0
606;18;ship;ship / ships;17;1;0;0
607;18;clean;clean;0;16;2;0
608;18;loud;loud;5;13;0;0
609;18;louder;louder;8;9;0;1
610;18;bent;bent;17;1;0;0
611;18;unto;unto;0;7;3;8
612;18;money;money;18;0;0;0
613;18;three;three;0;0;0;18
614;18;though;though;0;0;0;18
615;18;thee;thee;14;1;3;0
616;18;join;join / joining / joined;6;0;12;0
617;18;tree;tree / trees;16;1;1;0
618;18;blue;blue / blues;11;7;0;0
619;18;invad;invader / invaders;17;0;1;0
620;18;spend;spend / spending / spends;0;2;16;0
621;18;legend;legend / legends;15;1;2;0
622;18;minut;minutes / minute;18;0;0;0
623;17;anim;animal / animals;14;3;0;0
624;17;danger;danger / dangerous / dangers;12;5;0;0
625;17;queen;queen / queens;11;6;0;0
626;17;cat;cat / cats;17;0;0;0
627;17;victim;victim / victims;17;0;0;0
628;17;share;share / sharing / shared / shares;11;0;6;0
629;17;scare;scared / scares / scare;0;1;16;0
630;17;reason;reason / reasons / reasoning;16;0;1;0
631;17;climb;climb / climbing;11;0;6;0
632;17;shermann;shermann;12;3;2;0
633;17;felt;felt;1;0;16;0
634;17;warm;warm / warms;2;10;5;0
635;17;electr;electric / electrical;0;17;0;0
636;17;hundr;hundred / hundreds;1;4;6;6
637;17;sick;sick / sickness;5;12;0;0
638;17;tire;tired / tires;2;12;2;1
639;17;merci;mercy / merciful;13;2;2;0
640;17;nomad;nomad;4;8;3;2
641;17;tailgunn;tailgunner;17;0;0;0
